Institution ID,MAE,RMSE
09415354-4eb1-4866-87bb-efffe23e196a,4.465753495474072,6.727296438156593
097d4418-6d7c-4922-a703-bde5a6b64919,8.664539000567268,10.660311241478986
0da8e9a5-855d-42c5-9435-d69e1019cafc,2.3489059805870056,2.812372531528751
0fa2e546-c292-4060-a05e-beb53fc31e72,2.835081998039694,3.768773712926687
18cb6e95-6073-4102-989e-1b133ac99b29,6.507389769834631,8.08033613285583
19adebda-8361-4267-8ab0-7fe734377602,2.161287070854622,3.443569987238302
19ae2f00-60e7-4db1-8719-644820cc04df,4.654722101548138,6.452036587089637
1a75706d-889a-48ab-a6c7-1fbbd70aeda8,1.336589678478263,2.2188594307234704
23533011-6b2e-4aaf-a992-85fcf7bf04d9,0.0798999946564436,0.45508319279914144
2fa0d571-e424-4ee7-ac8b-deb7792305a7,6.002908734714284,8.245858941224125
